Date,driver_number,start_point,end_point,distance_travelled,speed,start_time,end_time,driver_rating,fare_amount,weather_conditions,traffic_conditions,payment_method,passenger_count,duration,route_taken
06/12/2026,6,50618 Dovetail Circle,6580 Merry Lane,34.49,46.36,5/28/2022,10/31/2022,4.4,23.86,snowy,heavy,credit card,1,18,city streets
06/12/2026,4,3 Knutson Junction,27193 West Avenue,0.5,100.79,7/7/2022,4/20/2022,2.8,91.22,sunny,heavy,credit card,1,248,back roads
06/12/2026,3,6880 Scott Drive,1741 Helena Hill,21.32,16.78,6/12/2022,2/5/2022,2.9,68.27,sunny,moderate,credit card,5,229,back roads
06/12/2026,5,443 Bunting Lane,20 Dryden Trail,25.63,47.67,7/22/2022,10/11/2022,4.4,12.41,cloudy,heavy,cash,2,544,highway
06/12/2026,4,82 Texas Junction,5299 Meadow Vale Drive,38.82,6.95,5/23/2022,10/16/2022,3.6,31.77,sunny,heavy,mobile payment,3,223,highway
06/12/2026,8,845 Dryden Drive,398 Jay Lane,15.45,1.12,6/29/2022,10/5/2022,4.4,24.87,snowy,light,mobile payment,3,228,city streets
06/12/2026,6,733 Buell Center,4851 Lakewood Gardens Lane,2.69,146.24,3/23/2022,3/9/2022,2.0,4.12,sunny,moderate,mobile payment,1,209,back roads
06/12/2026,7,8 Towne Point,92 Packers Lane,28.84,62.09,5/9/2022,8/26/2022,3.9,4.66,snowy,heavy,cash,4,170,city streets
06/12/2026,1,7 Luster Trail,29 Pepper Wood Avenue,0.35,104.31,2/26/2022,4/20/2022,4.8,33.8,cloudy,heavy,credit card,5,94,back roads
06/12/2026,4,5969 Anzinger Road,77 Brentwood Junction,49.77,32.67,4/27/2022,10/5/2022,2.5,79.42,snowy,moderate,mobile payment,3,283,highway
06/12/2026,3,05462 Sunbrook Court,582 Norway Maple Alley,11.86,55.57,5/8/2022,9/26/2022,1.6,77.02,snowy,moderate,credit card,3,78,city streets
06/12/2026,6,86255 Welch Lane,62676 Stuart Place,14.4,99.46,9/4/2022,5/12/2022,1.7,1.87,sunny,heavy,mobile payment,4,264,back roads
06/12/2026,3,7985 Red Cloud Parkway,47410 Dapin Way,1.17,18.51,7/5/2022,10/27/2022,1.6,56.84,sunny,light,cash,2,158,city streets
06/12/2026,9,86 Trailsway Avenue,99 Starling Alley,12.54,37.4,3/1/2022,9/8/2022,2.7,82.1,cloudy,heavy,credit card,2,271,city streets
06/12/2026,4,0 Bayside Lane,1425 Ilene Circle,15.13,67.05,9/1/2022,9/15/2022,4.2,46.79,sunny,light,credit card,5,113,back roads
06/12/2026,8,30338 Oxford Center,15 Badeau Plaza,48.68,111.13,5/10/2022,4/23/2022,5.0,82.07,snowy,heavy,cash,5,401,city streets
06/12/2026,9,64760 David Alley,04 Upham Junction,47.21,95.08,1/18/2022,4/17/2022,3.6,13.76,cloudy,light,cash,3,317,highway
06/12/2026,6,791 Cordelia Lane,665 Heffernan Junction,28.54,64.93,7/4/2022,8/4/2022,2.3,41.67,snowy,light,credit card,3,594,city streets
06/12/2026,6,50619 Rigney Parkway,821 Hanover Junction,1.69,10.39,7/5/2022,5/3/2022,4.7,87.51,sunny,light,cash,4,241,city streets
06/12/2026,6,9398 Gulseth Junction,0 Cordelia Point,21.87,26.09,8/29/2022,9/2/2022,2.5,30.36,snowy,heavy,mobile payment,3,562,city streets
06/12/2026,2,948 Northport Hill,93 Homewood Junction,11.23,111.52,5/16/2022,7/21/2022,4.0,36.04,cloudy,moderate,mobile payment,3,51,highway
06/12/2026,8,46 Ludington Way,4 Oak Drive,1.94,10.21,1/10/2022,10/24/2022,2.2,34.12,cloudy,light,cash,2,442,back roads
06/12/2026,3,99 Reinke Lane,496 Brentwood Plaza,42.64,92.74,7/18/2022,4/10/2022,2.8,41.35,sunny,moderate,cash,4,598,city streets
06/12/2026,7,432 Vahlen Drive,6 Reindahl Hill,34.09,82.74,3/29/2022,7/22/2022,2.8,33.43,snowy,heavy,credit card,3,580,back roads
06/12/2026,3,515 Mcbride Circle,53422 Dexter Point,16.61,42.59,7/19/2022,9/16/2022,1.1,65.97,cloudy,heavy,credit card,1,539,back roads
06/12/2026,3,29 Anzinger Plaza,439 Arrowood Point,44.56,148.1,2/3/2022,11/1/2022,3.7,15.8,snowy,light,cash,2,576,back roads
06/12/2026,4,6 Farragut Crossing,17 Harper Lane,19.13,6.72,1/27/2022,2/1/2022,2.7,40.94,sunny,moderate,cash,3,391,city streets
06/12/2026,8,80 Prairie Rose Road,8 Sunfield Park,15.39,2.64,8/2/2022,1/12/2022,3.3,91.52,cloudy,moderate,mobile payment,1,331,city streets
06/12/2026,4,9 Jenna Pass,657 Redwing Avenue,24.87,70.62,2/14/2022,3/2/2022,2.3,24.85,snowy,light,cash,4,375,city streets
06/12/2026,4,966 Debra Parkway,358 Jay Place,27.88,48.96,4/26/2022,8/22/2022,4.4,84.35,sunny,heavy,cash,1,566,back roads
06/12/2026,6,54402 Dovetail Park,53 Rutledge Place,40.4,49.9,8/20/2022,4/18/2022,2.6,93.41,cloudy,light,cash,2,569,back roads
06/12/2026,7,32266 Swallow Center,11518 Pearson Junction,47.63,99.1,5/2/2022,10/20/2022,2.1,31.63,snowy,light,mobile payment,3,192,city streets
06/12/2026,6,92631 Talmadge Avenue,0908 Carpenter Hill,23.05,114.54,2/7/2022,2/17/2022,3.0,84.47,snowy,light,mobile payment,4,10,highway
06/12/2026,3,73665 Emmet Crossing,5247 Iowa Crossing,31.36,57.32,3/9/2022,6/27/2022,1.4,76.45,cloudy,moderate,credit card,4,470,highway
06/12/2026,8,8 Corscot Parkway,588 Cottonwood Parkway,17.45,148.47,2/15/2022,7/31/2022,3.4,34.43,sunny,moderate,cash,3,298,back roads
06/12/2026,1,3757 Swallow Junction,88475 Towne Terrace,36.19,128.28,5/14/2022,8/14/2022,4.8,51.44,snowy,moderate,cash,4,399,highway
06/12/2026,4,1629 Lake View Street,793 Hanson Street,37.54,97.99,7/19/2022,6/3/2022,2.1,0.38,cloudy,heavy,credit card,3,155,city streets
06/12/2026,9,61845 Algoma Way,07339 Caliangt Terrace,17.39,71.39,8/1/2022,9/15/2022,4.4,86.09,sunny,heavy,mobile payment,5,99,highway
06/12/2026,7,97834 Loomis Lane,6225 Mosinee Junction,46.84,5.36,8/5/2022,3/14/2022,2.6,88.23,sunny,moderate,mobile payment,5,322,back roads
06/12/2026,9,1634 Oak Hill,0054 Main Place,11.73,114.43,6/3/2022,6/17/2022,2.9,28.47,sunny,heavy,cash,2,192,highway
06/12/2026,1,97 Gina Parkway,924 Clove Alley,44.66,91.72,3/6/2022,11/7/2022,3.7,84.85,cloudy,heavy,cash,3,48,back roads
06/12/2026,3,10360 North Drive,74 Gina Court,35.46,32.61,8/30/2022,9/23/2022,3.9,60.23,snowy,moderate,mobile payment,4,131,city streets
06/12/2026,3,9 Veith Way,8 Iowa Alley,24.62,58.19,3/10/2022,6/4/2022,1.8,88.52,cloudy,light,credit card,2,334,highway
06/12/2026,8,6652 John Wall Lane,0838 Weeping Birch Alley,32.3,93.09,9/18/2022,4/13/2022,5.0,11.56,cloudy,light,credit card,3,246,back roads
06/12/2026,4,73318 Rowland Plaza,2 Artisan Way,0.17,94.97,6/7/2022,10/22/2022,1.7,67.83,snowy,heavy,cash,4,227,city streets
06/12/2026,2,98 Scofield Hill,38 Dennis Crossing,49.39,130.88,8/3/2022,10/24/2022,1.1,25.42,cloudy,light,cash,1,153,city streets
06/12/2026,7,76 Loeprich Alley,03995 Riverside Hill,13.25,12.45,1/3/2022,7/15/2022,2.8,46.35,snowy,light,cash,5,317,back roads
06/12/2026,9,62 Mallard Circle,1512 Upham Circle,28.24,85.95,3/29/2022,2/19/2022,1.4,50.67,sunny,light,credit card,5,285,highway
06/12/2026,3,53243 Nobel Park,513 American Ash Parkway,37.55,141.74,3/18/2022,5/11/2022,1.7,27.61,cloudy,moderate,cash,4,402,city streets
06/12/2026,4,53 Harper Court,50 Village Place,46.44,64.95,2/28/2022,6/18/2022,4.6,95.64,sunny,heavy,mobile payment,5,434,city streets
06/12/2026,3,3 Holmberg Avenue,29 Farmco Point,3.72,78.72,8/30/2022,3/18/2022,4.1,50.17,sunny,light,credit card,4,19,city streets
06/12/2026,6,17 Village Hill,87372 Prairieview Junction,24.17,132.72,4/4/2022,10/14/2022,2.4,71.57,snowy,heavy,credit card,5,301,back roads
06/12/2026,6,27454 Banding Park,55 Tennyson Park,16.12,81.53,5/7/2022,2/13/2022,4.0,64.3,cloudy,moderate,cash,2,334,back roads
06/12/2026,5,29 Lillian Hill,389 Bobwhite Crossing,46.15,2.2,1/16/2022,1/26/2022,1.8,4.02,sunny,light,cash,2,40,city streets
06/12/2026,2,3514 Anderson Trail,5 Dayton Parkway,5.13,141.63,1/30/2022,10/22/2022,4.2,16.87,cloudy,moderate,mobile payment,2,306,back roads
06/12/2026,7,09970 Washington Place,815 Ridgeway Road,25.64,27.39,8/2/2022,8/7/2022,2.4,27.83,sunny,heavy,credit card,1,33,back roads
06/12/2026,1,2948 Dawn Plaza,31 East Place,3.82,109.3,8/29/2022,8/11/2022,1.4,74.69,snowy,light,cash,4,333,city streets
06/12/2026,7,339 Thompson Lane,573 Summer Ridge Park,6.11,134.67,1/6/2022,9/2/2022,4.0,59.31,cloudy,moderate,cash,2,371,city streets
06/12/2026,5,9529 Tennyson Avenue,72056 Golf Court,9.27,13.69,2/15/2022,8/23/2022,2.8,3.6,sunny,moderate,credit card,4,53,back roads
06/12/2026,1,9 Waywood Alley,90264 Kenwood Point,31.08,132.96,1/25/2022,2/12/2022,4.9,93.64,snowy,heavy,cash,2,212,highway
06/12/2026,9,2 Orin Place,44 Hermina Plaza,38.47,72.18,2/19/2022,8/4/2022,2.4,20.94,sunny,moderate,cash,2,234,highway
06/12/2026,5,23181 Charing Cross Place,699 Hermina Point,34.97,51.86,2/16/2022,3/11/2022,3.9,71.47,sunny,heavy,cash,3,429,back roads
06/12/2026,2,55 Blaine Circle,467 Rigney Crossing,11.48,45.14,5/13/2022,1/13/2022,2.3,56.4,cloudy,light,cash,5,364,city streets
06/12/2026,5,86353 Southridge Drive,29154 Quincy Plaza,5.78,5.73,6/26/2022,11/3/2022,1.1,41.16,snowy,moderate,credit card,3,245,back roads
06/12/2026,2,3873 Cody Place,0612 Corben Park,43.75,103.3,5/24/2022,9/21/2022,5.0,47.09,cloudy,light,cash,5,336,city streets
06/12/2026,2,61 Arkansas Avenue,03 School Center,41.12,68.03,8/2/2022,7/3/2022,1.1,26.93,sunny,light,cash,2,460,highway
06/12/2026,1,862 Fairfield Center,319 Chive Avenue,30.71,144.97,4/5/2022,5/1/2022,1.0,47.63,snowy,light,credit card,1,266,highway
06/12/2026,8,3 Lien Road,776 Tennessee Park,9.82,133.53,1/5/2022,5/25/2022,5.0,89.06,snowy,heavy,mobile payment,5,587,back roads
06/12/2026,1,1 Kingsford Court,36 Union Lane,24.12,14.21,4/25/2022,2/28/2022,2.8,85.73,sunny,light,cash,1,487,back roads
06/12/2026,7,466 Saint Paul Avenue,24 Claremont Court,3.61,66.18,5/23/2022,5/23/2022,4.8,53.73,snowy,moderate,credit card,4,295,highway
06/12/2026,8,2 Coolidge Plaza,11 Cottonwood Street,19.41,47.79,7/18/2022,10/10/2022,1.5,61.08,cloudy,light,mobile payment,2,387,city streets
06/12/2026,7,50 Pawling Drive,53 Northfield Hill,22.9,140.59,2/16/2022,3/6/2022,2.5,59.49,cloudy,heavy,credit card,4,399,city streets
06/12/2026,7,75 Norway Maple Street,1 Jenifer Terrace,40.58,109.88,4/25/2022,8/14/2022,1.9,8.23,sunny,moderate,credit card,2,451,back roads
06/12/2026,6,24374 Hollow Ridge Place,93933 Fallview Terrace,39.16,10.45,3/7/2022,3/2/2022,4.5,55.13,sunny,heavy,mobile payment,2,251,back roads
06/12/2026,3,842 Hudson Lane,44 Gulseth Circle,25.84,88.03,1/4/2022,7/2/2022,3.0,36.41,cloudy,heavy,mobile payment,4,430,city streets
06/12/2026,9,854 Summer Ridge Alley,978 Armistice Circle,45.72,3.99,7/14/2022,2/17/2022,1.3,77.41,cloudy,moderate,mobile payment,4,225,highway
06/12/2026,1,50900 Little Fleur Lane,38938 Sutherland Hill,24.24,1.1,1/23/2022,9/23/2022,1.4,83.71,cloudy,heavy,cash,3,353,highway
06/12/2026,9,8 Mayer Pass,538 Garrison Drive,42.11,137.2,4/14/2022,2/17/2022,1.9,10.36,sunny,heavy,cash,3,346,back roads
06/12/2026,5,068 Rigney Circle,0 American Crossing,0.57,68.04,5/24/2022,10/10/2022,4.0,72.32,cloudy,light,credit card,1,12,city streets
06/12/2026,8,4 Redwing Circle,965 Kipling Drive,19.58,41.78,2/11/2022,5/12/2022,3.8,53.72,snowy,moderate,cash,1,464,city streets
06/12/2026,2,73027 Tony Avenue,7 Maple Way,48.31,4.19,4/16/2022,3/16/2022,1.3,23.63,cloudy,moderate,mobile payment,4,442,city streets
06/12/2026,9,45363 Arizona Street,0272 Loomis Circle,41.31,93.53,4/29/2022,3/27/2022,2.9,19.67,cloudy,heavy,mobile payment,1,303,highway
06/12/2026,7,8 Kingsford Road,42 Reindahl Trail,17.6,102.98,2/23/2022,6/23/2022,3.9,20.61,cloudy,heavy,cash,5,312,city streets
06/12/2026,4,33 Towne Street,300 Paget Trail,17.33,97.66,9/13/2022,1/24/2022,4.5,37.08,cloudy,moderate,mobile payment,5,417,city streets
06/12/2026,3,4 Prairieview Place,23478 Onsgard Circle,33.79,129.29,4/18/2022,4/13/2022,1.3,4.96,snowy,light,credit card,1,535,highway
06/12/2026,9,5082 Stoughton Pass,1 Starling Trail,0.26,85.5,9/5/2022,9/22/2022,2.2,86.42,sunny,moderate,cash,3,149,back roads
06/12/2026,7,1 7th Center,78493 Warbler Crossing,15.03,137.1,7/20/2022,4/16/2022,2.4,16.27,snowy,light,credit card,1,382,city streets
06/12/2026,4,6577 Oakridge Terrace,76 Village Green Junction,37.77,123.97,4/3/2022,11/6/2022,3.7,95.39,cloudy,heavy,mobile payment,5,216,city streets
06/12/2026,4,4 Pearson Way,1 5th Crossing,2.5,63.07,6/25/2022,1/9/2022,3.6,93.77,cloudy,heavy,credit card,3,76,back roads
06/12/2026,3,8054 Mallory Park,9405 Golf Pass,37.75,140.83,1/17/2022,7/17/2022,2.3,12.53,sunny,light,cash,3,39,city streets
06/12/2026,5,845 Blaine Crossing,70 Ronald Regan Alley,20.27,6.77,8/19/2022,2/6/2022,4.7,12.07,cloudy,moderate,mobile payment,4,314,highway
06/12/2026,1,5878 Claremont Circle,98460 Leroy Parkway,25.5,52.48,4/25/2022,3/18/2022,2.7,55.87,cloudy,light,credit card,5,360,highway
06/12/2026,9,761 Graceland Court,726 Harper Park,28.46,147.08,7/23/2022,2/16/2022,2.7,78.98,snowy,moderate,credit card,1,454,back roads
06/12/2026,1,48 Schmedeman Junction,25 American Terrace,28.54,141.62,4/30/2022,9/30/2022,2.1,85.41,snowy,moderate,cash,2,54,back roads
06/12/2026,6,13 Sunnyside Lane,12 Summer Ridge Way,2.45,75.8,1/30/2022,3/9/2022,1.0,53.24,snowy,light,cash,5,21,highway
06/12/2026,2,25 Marcy Pass,506 Hooker Road,33.83,50.04,6/12/2022,4/23/2022,2.6,1.57,cloudy,heavy,credit card,1,487,back roads
06/12/2026,6,75833 Myrtle Alley,81 Fuller Trail,29.5,145.51,2/6/2022,4/29/2022,4.0,20.07,snowy,heavy,credit card,5,189,back roads
06/12/2026,6,24225 West Way,713 Meadow Valley Court,15.69,16.7,4/22/2022,8/16/2022,2.2,11.96,snowy,light,mobile payment,3,120,city streets
06/12/2026,6,81113 Utah Plaza,15 Novick Road,15.86,72.79,7/17/2022,7/20/2022,2.4,76.68,cloudy,heavy,mobile payment,1,98,highway
06/12/2026,3,8636 Becker Plaza,597 Crest Line Crossing,33.55,21.09,3/8/2022,7/31/2022,2.6,43.48,cloudy,heavy,credit card,5,381,city streets
06/12/2026,1,4335 Oneill Point,386 Texas Point,13.03,68.88,3/6/2022,8/15/2022,3.4,79.31,cloudy,heavy,credit card,5,409,highway
06/12/2026,1,45911 Vermont Drive,5 Londonderry Avenue,8.8,145.71,4/10/2022,6/28/2022,3.0,18.45,sunny,light,credit card,4,459,highway
06/12/2026,1,8161 Manufacturers Street,71 Holmberg Crossing,6.15,122.74,1/18/2022,2/23/2022,2.5,67.35,cloudy,moderate,cash,4,386,city streets
06/12/2026,6,11 5th Circle,34 Reindahl Alley,24.39,137.64,6/8/2022,2/20/2022,2.6,59.8,sunny,heavy,cash,3,364,back roads
06/12/2026,6,47 Lillian Terrace,29693 Homewood Park,48.07,60.2,9/10/2022,9/24/2022,2.7,6.06,snowy,light,cash,1,29,highway
06/12/2026,4,5860 Dovetail Way,3 Shopko Lane,32.2,3.31,3/6/2022,4/14/2022,2.5,54.84,sunny,heavy,cash,5,344,city streets
06/12/2026,8,72251 Fuller Pass,4 Utah Drive,0.7,91.83,5/4/2022,9/4/2022,1.8,17.09,sunny,moderate,mobile payment,5,446,highway
06/12/2026,2,5589 Emmet Crossing,418 Corscot Center,7.11,63.62,1/3/2022,5/5/2022,1.3,14.44,sunny,moderate,cash,4,337,city streets
06/12/2026,3,0 Debs Street,17 Sutherland Point,47.13,119.41,6/19/2022,1/18/2022,1.6,2.62,snowy,light,mobile payment,2,384,back roads
06/12/2026,1,95 Hazelcrest Road,846 Clove Way,23.06,111.79,9/5/2022,2/26/2022,3.6,58.07,snowy,heavy,cash,2,469,highway
06/12/2026,4,5 Straubel Terrace,6800 Hooker Avenue,36.88,16.79,5/12/2022,4/16/2022,2.3,54.48,snowy,moderate,credit card,1,263,back roads
06/12/2026,2,5 Waywood Drive,49 Sugar Court,10.14,121.64,3/27/2022,1/20/2022,2.0,8.25,sunny,heavy,mobile payment,5,436,highway
06/12/2026,3,72121 Onsgard Court,93 Golf Course Way,40.19,59.86,2/22/2022,11/1/2022,3.2,18.06,cloudy,light,cash,4,451,back roads
06/12/2026,3,19 7th Way,1152 Mendota Place,18.56,114.2,7/15/2022,7/15/2022,1.1,36.7,cloudy,light,mobile payment,4,488,back roads
06/12/2026,8,9 Bonner Circle,67 Briar Crest Lane,48.13,121.39,3/6/2022,7/5/2022,4.9,93.6,cloudy,light,cash,5,266,city streets
06/12/2026,8,4 Garrison Junction,2896 Glendale Center,25.82,18.65,6/17/2022,10/16/2022,3.4,33.44,cloudy,heavy,credit card,3,437,city streets
06/12/2026,7,4 Waywood Terrace,33 Muir Pass,26.0,89.95,4/21/2022,4/21/2022,4.2,71.29,snowy,moderate,credit card,2,29,highway
06/12/2026,7,00 Tomscot Place,35196 Jackson Pass,42.11,135.2,9/5/2022,9/22/2022,1.8,35.82,sunny,moderate,cash,3,313,highway
06/12/2026,6,2 Dwight Way,9 Monterey Crossing,33.57,2.69,7/20/2022,7/10/2022,2.8,72.12,sunny,moderate,mobile payment,1,108,back roads
06/12/2026,2,40 Lunder Terrace,7 Monica Point,35.08,72.86,4/15/2022,9/4/2022,1.8,3.81,sunny,heavy,cash,3,69,city streets
06/12/2026,1,833 6th Pass,13 Morning Parkway,48.28,133.61,4/5/2022,2/9/2022,3.7,78.39,snowy,light,mobile payment,3,23,highway
06/12/2026,3,6 Lindbergh Way,7463 Schmedeman Hill,12.56,96.74,4/30/2022,4/11/2022,2.1,79.3,sunny,moderate,cash,2,100,city streets
06/12/2026,3,50 Marcy Way,3153 Norway Maple Road,29.39,9.34,5/1/2022,1/20/2022,2.0,28.99,snowy,light,cash,1,556,back roads
